original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
always when the brake is pressed or the escalator moves then sooner or later either an elevator rises or the elevator is blocked;G(( brake_is_pressed | escalator_moves ) -> F( elevator_rises | elevator_is_blocked ));G((brake_is_pressed | escalator_moves) -> F(elevator_is_blocked | elevator_rises));['brake_is_pressed', 'elevator_rises', 'escalator_moves', 'elevator_is_blocked'];always when the brake_is_pressed or the escalator_moves then sooner or later either an elevator_rises or the elevator_is_blocked;;{'brake_is_pressed': 'ap_0', 'elevator_rises': 'ap_1', 'escalator_moves': 'ap_2', 'elevator_is_blocked': 'ap_3'};G((ap_0 | ap_2) -> F(ap_3 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> F(prop | prop));G((prop | prop) -> F(prop | prop));0
At every step, record the cyclist on west_10th_avenue equals the value of change light_north yellow in the next step.;"G ( ""record(cyclist,west_10th_avenue)"" <-> X ""change(light_north,yellow)"" )";G(record_cyclist_west_10th_avenue <-> X change_light_north_yellow);['change_light_north_yellow', 'record_cyclist_west_10th_avenue'];;;;G(ap_1 <-> Xap_0);VLTL-Bench;G(prop <-> Xprop);G(prop <-> Xprop);0
Never touch letter_8;"G ! ""p_letter_8""";G!p_letter_8;['p_letter_8'];;;;G!ap_0;VLTL-Bench;G!prop;G!prop;0
after a constructor creates instances or the house is built, all the time either a car enters or the train has arrived;G(( constructor_creates_instances | house_is_built ) -> G( car_enters | train_has_arrived ));G((constructor_creates_instances | house_is_built) -> G(car_enters | train_has_arrived));['house_is_built', 'constructor_creates_instances', 'car_enters', 'train_has_arrived'];after a constructor_creates_instances or the house_is_built, all the time either a car_enters or the train_has_arrived;;{'house_is_built': 'ap_0', 'constructor_creates_instances': 'ap_1', 'car_enters': 'ap_2', 'train_has_arrived': 'ap_3'};G((ap_1 | ap_0) -> G(ap_2 | ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G(prop | prop));G((prop | prop) -> G(prop | prop));0
Whenever search the cake holds, eventually idle will hold.;"G ( ""search(cake)"" -> F ""idle"" )";G(search_cake -> F idle);['idle', 'search_cake'];;;;G(ap_1 -> Fap_0);VLTL-Bench;G(prop -> Fprop);G(prop -> Fprop);0
Whenever get_help holds, from the next step onwards change light_south red will eventually hold.;"G ( ""get_help"" -> X F ""change(light_south,red)"" )";G(get_help -> XF change_light_south_red);['get_help', 'change_light_south_red'];;;;G(ap_0 -> XFap_1);VLTL-Bench;G(prop -> XFprop);G(prop -> XFprop);0
at some time grab pear or when possible go_by flag;"F ( ""grab(pear)"" ) | F ( ""go_by(flag)"" )";F grab_pear | F go_by_flag;['go_by_flag', 'grab_pear'];;;;Fap_1 | Fap_0;VLTL-Bench;Fprop | Fprop;Fprop | Fprop;0
Avoid entering street_6 while you photo of car_1;"G ! ""street_6"" & F ( ""car_1"" & ""photo"" )";G!street_6 & F(car_1 & photo);['photo', 'street_6', 'car_1'];;;;G!ap_1 & F(ap_2 & ap_0);VLTL-Bench;G!prop & F(prop & prop);G!prop & F(prop & prop);0
Visit park 5 first and then take a photo of monument 3;<>(park_5&&<>(monument_3&&photo));F(park_5 & F(monument_3 & photo));['photo', 'park_5', 'monument_3'];Visit park_5 first and then take a photo of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2'};F(ap_1 & F(ap_2 & ap_0));ConformalNL2LTL;F(prop & F(prop & prop));F(prop & F(prop & prop));0
From some point onwards, idle never occurs again.;"F G ! ""idle""";FG!idle;['idle'];;;;FG!ap_0;VLTL-Bench;FG!prop;FG!prop;0
collect pear and hold orange;"""collect(pear)"" & ""hold(orange)""";collect_pear & hold_orange;['collect_pear', 'hold_orange'];;;;ap_0 & ap_1;VLTL-Bench;prop & prop;prop & prop;0
Transport the teddy-bear to the shelf and search the microwave never coincide, yet one of them is always true.;"G ( ! ( ""deliver(teddy-bear,shelf)"" & ""search(microwave)"" ) ) & G ( ""deliver(teddy-bear,shelf)"" | ""search(microwave)"" )";G!(deliver_teddy_bear_shelf & search_microwave) & G(deliver_teddy_bear_shelf | search_microwave);['search_microwave', 'deliver_teddy_bear_shelf'];;;;G!(ap_1 & ap_0) & G(ap_1 | ap_0);VLTL-Bench;G!(prop & prop) & G(prop | prop);G!(prop & prop) & G(prop | prop);0
Search for the book can only happen after idleing.;"! ""search(book)"" U ""idle""";!search_book U idle;['idle', 'search_book'];;;;!ap_1 U ap_0;VLTL-Bench;!prop U prop;!prop U prop;0
as the escalator is blocked and the semaphore is red, eventually, the train derails;G(( escalator_is_blocked & semaphore_is_red ) -> F( train_derails ));G((escalator_is_blocked & semaphore_is_red) -> F train_derails);['semaphore_is_red', 'train_derails', 'escalator_is_blocked'];as the escalator_is_blocked and the semaphore_is_red, eventually, the train_derails;;{'semaphore_is_red': 'ap_0', 'train_derails': 'ap_1', 'escalator_is_blocked': 'ap_2'};G((ap_2 & ap_0) -> Fap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> Fprop);G((prop & prop) -> Fprop);0
don't pick_up anything means that at some time travel_to flag;"! ( F ( ""pick_up(anything)"" ) ) -> F ( ""travel_to(flag)"" )";!F pick_up_anything -> F travel_to_flag;['pick_up_anything', 'travel_to_flag'];;;;!Fap_0 -> Fap_1;VLTL-Bench;!Fprop -> Fprop;!Fprop -> Fprop;0
sooner or later a motorbike has stopped, a bridge closes and the car starts;F( motorbike_has_stopped & bridge_closes & car_starts );F(bridge_closes & car_starts & motorbike_has_stopped);['car_starts', 'bridge_closes', 'motorbike_has_stopped'];sooner or later a motorbike_has_stopped, a bridge_closes and the car_starts;;{'car_starts': 'ap_0', 'bridge_closes': 'ap_1', 'motorbike_has_stopped': 'ap_2'};F(ap_1 & ap_0 & ap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop & prop);F(prop & prop & prop);0
hold pear or repeatedly make_way_to house;"""hold(pear)"" | G ( F ( ""make_way_to(house)"" ) )";hold_pear | GF make_way_to_house;['hold_pear', 'make_way_to_house'];;;;ap_0 | GFap_1;VLTL-Bench;prop | GFprop;prop | GFprop;0
at any time the motorbike has started, the train has been launched and the semaphore is broken;G( motorbike_has_started & train_has_been_launched & semaphore_is_broken );G(motorbike_has_started & semaphore_is_broken & train_has_been_launched);['train_has_been_launched', 'semaphore_is_broken', 'motorbike_has_started'];at any time the motorbike_has_started, the train_has_been_launched and the semaphore_is_broken;;{'train_has_been_launched': 'ap_0', 'semaphore_is_broken': 'ap_1', 'motorbike_has_started': 'ap_2'};G(ap_2 & ap_1 & ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop & prop & prop);G(prop & prop & prop);0
Retrieve pass 2 from house 3 and deliver it to office 2 while avoiding street 5 until after picking up pass 2;<>(house_3&&<>(p_pass_2&&<>(office_2&&pd)))&&!street_5 U p_pass_2;F(house_3 & F(p_pass_2 & F(office_2 & pd))) & (!street_5 U p_pass_2);['pd', 'street_5', 'office_2', 'house_3', 'p_pass_2'];Retrieve p_pass_2 from house_3 and deliver it to office_2 while avoiding street_5 until after picking up p_pass_2;{'pd': 'pd', 'street 5': 'street_5', 'office 2': 'office_2', 'house 3': 'house_3', 'pass 2': 'p_pass_2'};{'pd': 'ap_0', 'street_5': 'ap_1', 'office_2': 'ap_2', 'house_3': 'ap_3', 'p_pass_2': 'ap_4'};F(ap_3 & F(ap_4 & F(ap_2 & ap_0))) & (!ap_1 U ap_4);ConformalNL2LTL;F(prop & F(prop & F(prop & prop))) & (!prop U prop);F(prop & F(prop & F(prop & prop))) & (!prop U prop);0
forever stay or at any time start_going_to house;"G ( ""stay"" ) | F ( ""start_going_to(house)"" )";G stay | F start_going_to_house;['start_going_to_house', 'stay'];;;;Gap_1 | Fap_0;VLTL-Bench;Gprop | Fprop;Gprop | Fprop;0
Refrain from going to room 4 before you arrive at building 4;!room_4 U building_4;!room_4 U building_4;['building_4', 'room_4'];Refrain from going to room_4 before you arrive at building_4;{'building 4': 'building_4', 'room 4': 'room_4'};{'building_4': 'ap_0', 'room_4': 'ap_1'};!ap_1 U ap_0;ConformalNL2LTL;!prop U prop;!prop U prop;0
drop pear until keep apple;"""drop(pear)"" U ""keep(apple)""";drop_pear U keep_apple;['drop_pear', 'keep_apple'];;;;ap_0 U ap_1;VLTL-Bench;prop U prop;prop U prop;0
grip apple or at any time start_going_to house;"""grip(apple)"" | F ( ""start_going_to(house)"" )";grip_apple | F start_going_to_house;['start_going_to_house', 'grip_apple'];;;;ap_1 | Fap_0;VLTL-Bench;prop | Fprop;prop | Fprop;0
never drop apple or secure apple;"G ( ! ( ""drop(apple)"" ) ) | ""secure(apple)""";secure_apple | G!drop_apple;['drop_apple', 'secure_apple'];;;;ap_1 | G!ap_0;VLTL-Bench;prop | G!prop;prop | G!prop;0
if the semaphore is yellow then it is going to happen that the bar is down or a constructor instantiate objects;G(( semaphore_is_yellow ) -> F( bar_is_down | constructor_instantiate_objects ));G(semaphore_is_yellow -> F(bar_is_down | constructor_instantiate_objects));['constructor_instantiate_objects', 'semaphore_is_yellow', 'bar_is_down'];if the semaphore_is_yellow then it is going to happen that the bar_is_down or a constructor_instantiate_objects;;{'constructor_instantiate_objects': 'ap_0', 'semaphore_is_yellow': 'ap_1', 'bar_is_down': 'ap_2'};G(ap_1 -> F(ap_2 | ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop | prop));G(prop -> F(prop | prop));0
repeatedly go_to waste basket or whenever touch tree;"G ( F ( ""go_to(waste_basket)"" ) ) | F ( ""touch(tree)"" )";GF go_to_waste_basket | F touch_tree;['go_to_waste_basket', 'touch_tree'];;;;GFap_0 | Fap_1;VLTL-Bench;GFprop | Fprop;GFprop | Fprop;0
every time both the sensor captures data and the car stops then it will happen that both the brake is pressed and the escalator moves;G(( sensor_captures_data & car_stops ) -> F( brake_is_pressed & escalator_moves ));G((car_stops & sensor_captures_data) -> F(brake_is_pressed & escalator_moves));['brake_is_pressed', 'car_stops', 'sensor_captures_data', 'escalator_moves'];every time both the sensor_captures_data and the car_stops then it will happen that both the brake_is_pressed and the escalator_moves;;{'brake_is_pressed': 'ap_0', 'car_stops': 'ap_1', 'sensor_captures_data': 'ap_2', 'escalator_moves': 'ap_3'};G((ap_1 & ap_2) -> F(ap_0 & ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> F(prop & prop));G((prop & prop) -> F(prop & prop));0
venture_towards house and secure apple;"""venture_towards(house)"" & ""secure(apple)""";secure_apple & venture_towards_house;['venture_towards_house', 'secure_apple'];;;;ap_1 & ap_0;VLTL-Bench;prop & prop;prop & prop;0
You must Please communicate the safe_rescuer and then deliver_aid the safe_victim.;"( ""communicate(safe_rescuer)"" U ""deliver_aid(safe_victim)"" )";communicate_safe_rescuer U deliver_aid_safe_victim;['deliver_aid_safe_victim', 'communicate_safe_rescuer'];;;;ap_1 U ap_0;VLTL-Bench;prop U prop;prop U prop;0
drop_by until at any time journey_by house;"""drop_by"" U F ( ""journey_by(house)"" )";drop_by U F journey_by_house;['journey_by_house', 'drop_by'];;;;ap_1 U Fap_0;VLTL-Bench;prop U Fprop;prop U Fprop;0
if both the bar has to be repaired and the bridge opens then eternally, the semaphore is yellow;G(( bar_has_to_be_repaired & bridge_opens ) -> G( semaphore_is_yellow ));G((bar_has_to_be_repaired & bridge_opens) -> G semaphore_is_yellow);['bar_has_to_be_repaired', 'semaphore_is_yellow', 'bridge_opens'];if both the bar_has_to_be_repaired and the bridge_opens then eternally, the semaphore_is_yellow;;{'bar_has_to_be_repaired': 'ap_0', 'semaphore_is_yellow': 'ap_1', 'bridge_opens': 'ap_2'};G((ap_0 & ap_2) -> Gap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> Gprop);G((prop & prop) -> Gprop);0
if at some time collect orange , at any time scoop_up apple;"F ( ""collect(orange)"" ) -> F ( ""scoop_up(apple)"" )";F collect_orange -> F scoop_up_apple;['scoop_up_apple', 'collect_orange'];;;;Fap_1 -> Fap_0;VLTL-Bench;Fprop -> Fprop;Fprop -> Fprop;0
as a train derails, at a certain moment the constructor instantiate objects or the bar is up;G(( train_derails ) -> F( constructor_instantiate_objects | bar_is_up ));G(train_derails -> F(bar_is_up | constructor_instantiate_objects));['bar_is_up', 'train_derails', 'constructor_instantiate_objects'];as a train_derails, at a certain moment the constructor_instantiate_objects or the bar_is_up;;{'bar_is_up': 'ap_0', 'train_derails': 'ap_1', 'constructor_instantiate_objects': 'ap_2'};G(ap_1 -> F(ap_0 | ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop | prop));G(prop -> F(prop | prop));0
Get brochure_9 from table_2 and at park_4 and stay there;"F ( ""table_2"" & F ( ""p_brochure_9"" & F ( ""park_4"" & G ""park_4"" ) ) )";F(table_2 & F(p_brochure_9 & F(park_4 & G park_4)));['table_2', 'park_4', 'p_brochure_9'];;;;F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)));VLTL-Bench;F(prop & F(prop & F(prop & Gprop)));F(prop & F(prop & F(prop & Gprop)));0
Get help can only happen after change light_south red.;"! ""get_help"" U ""change(light_south,red)""";!get_help U change_light_south_red;['get_help', 'change_light_south_red'];;;;!ap_0 U ap_1;VLTL-Bench;!prop U prop;!prop U prop;0
Whenever neither pickup the vase nor deliver the toilet to the loading_dock holds, search the bird eventually holds.;"G ( ! ( ""pickup(vase)"" & ""deliver(toilet,loading_dock)"" ) -> F ""search(bird)"" )";G(!(deliver_toilet_loading_dock & pickup_vase) -> F search_bird);['search_bird', 'pickup_vase', 'deliver_toilet_loading_dock'];;;;G(!(ap_2 & ap_1) -> Fap_0);VLTL-Bench;G(!(prop & prop) -> Fprop);G(!(prop & prop) -> Fprop);0
Retrieve the bus and idle aring mutually exclusive at all times.;"G ! ( ""pickup(bus)"" & ""idle"" )";G!(idle & pickup_bus);['idle', 'pickup_bus'];;;;G!(ap_0 & ap_1);VLTL-Bench;G!(prop & prop);G!(prop & prop);0
at no time both the bar is closing and the train is crossing;G(!( bar_is_closing & train_is_crossing ));G!(bar_is_closing & train_is_crossing);['train_is_crossing', 'bar_is_closing'];at no time both the bar_is_closing and the train_is_crossing;;{'train_is_crossing': 'ap_0', 'bar_is_closing': 'ap_1'};G!(ap_1 & ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop);G!(prop & prop);0
finally, both the constructor creates instances and the sensor captures data and, it will happen that a bridge closes afterwards;G(!( constructor_creates_instances & sensor_captures_data )) | F(( constructor_creates_instances & sensor_captures_data ) & F( bridge_closes ));G!(constructor_creates_instances & sensor_captures_data) | F(constructor_creates_instances & sensor_captures_data & F bridge_closes);['sensor_captures_data', 'constructor_creates_instances', 'bridge_closes'];finally, both the constructor_creates_instances and the sensor_captures_data and, it will happen that a bridge_closes afterwards;;{'sensor_captures_data': 'ap_0', 'constructor_creates_instances': 'ap_1', 'bridge_closes': 'ap_2'};G!(ap_1 & ap_0) | F(ap_1 & ap_0 & Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & Fprop);G!(prop & prop) | F(prop & prop & Fprop);0
at any time a house is open and the table has been moved;G( house_is_open & table_has_been_moved );G(house_is_open & table_has_been_moved);['house_is_open', 'table_has_been_moved'];at any time a house_is_open and the table_has_been_moved;;{'house_is_open': 'ap_0', 'table_has_been_moved': 'ap_1'};G(ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop & prop);G(prop & prop);0
visit tree or take pear;"""visit(tree)"" | ""take(pear)""";take_pear | visit_tree;['visit_tree', 'take_pear'];;;;ap_1 | ap_0;VLTL-Bench;prop | prop;prop | prop;0
Request assistance and deliver the tv_monitor to the loading_dock are mutually exclusive at all times.;"G ! ( ""get_help"" & ""deliver(tv_monitor,loading_dock)"" )";G!(deliver_tv_monitor_loading_dock & get_help);['get_help', 'deliver_tv_monitor_loading_dock'];;;;G!(ap_1 & ap_0);VLTL-Bench;G!(prop & prop);G!(prop & prop);0
always when the bar is down or the house is open then at a certain moment a table is old or an elevator is blocked;G(( bar_is_down | house_is_open ) -> F( table_is_old | elevator_is_blocked ));G((bar_is_down | house_is_open) -> F(elevator_is_blocked | table_is_old));['house_is_open', 'table_is_old', 'bar_is_down', 'elevator_is_blocked'];always when the bar_is_down or the house_is_open then at a certain moment a table_is_old or an elevator_is_blocked;;{'house_is_open': 'ap_0', 'table_is_old': 'ap_1', 'bar_is_down': 'ap_2', 'elevator_is_blocked': 'ap_3'};G((ap_2 | ap_0) -> F(ap_3 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> F(prop | prop));G((prop | prop) -> F(prop | prop));0
Take a picture of the person on north_9th_avenue and record the pedestrian on southwest_4th_avenue will each happen at some point.;"F ""photo(person,north_9th_avenue)"" & F ""record(pedestrian,southwest_4th_avenue)""";F photo_person_north_9th_avenue & F record_pedestrian_southwest_4th_avenue;['photo_person_north_9th_avenue', 'record_pedestrian_southwest_4th_avenue'];;;;Fap_0 & Fap_1;VLTL-Bench;Fprop & Fprop;Fprop & Fprop;0
it should not happen that both the elevator is open and the motorbike has stopped;G(!( elevator_is_open & motorbike_has_stopped ));G!(elevator_is_open & motorbike_has_stopped);['motorbike_has_stopped', 'elevator_is_open'];it should not happen that both the elevator_is_open and the motorbike_has_stopped;;{'motorbike_has_stopped': 'ap_0', 'elevator_is_open': 'ap_1'};G!(ap_1 & ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop);G!(prop & prop);0
